23415,npc
21755,npc
14226,npc
7077,npc
32976,npc
7780,npc
19086,npc
28397,npc
69595,npc
52722,npc
78827,npc
61867,npc
17719,npc
68038,npc
26581,npc
35137,npc
2703,npc
55891,npc
4789,npc
56445,npc
38187,npc
1299,npc
32886,npc
27722,npc
30596,npc
19467,npc
3047,npc
12981,npc
20453,npc
24890,npc
28871,npc
48156,npc
43196,npc
15117,npc
37533,npc
19407,npc
9484,npc
856,npc
23251,npc
51748,npc
66495,npc
53818,npc
1439,npc
8603,npc
37499,npc
32447,npc
64303,npc
1095,npc
24098,npc
3003,npc
34222,npc
83245,npc
9513,npc
28354,npc
6796,npc
20597,npc
9607,npc
50476,npc
45488,npc
6982,npc
21422,npc
17201,npc
1445,npc
29843,npc
22293,npc
57902,npc
8873,npc
28301,npc
4648,npc
26681,npc
7746,npc
24661,npc
1855,npc
